"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"0 - 200","all credits at this bank paid back duly","100 to 500","4 to 7 years",4,"male (single)","none",2,"car or other",30,"none","own",1,"skilled employee / official",1,"none","Yes","good",12088
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"unknown / no property",39,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12101
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","4 to 7 years",4,"female (divorced/separated/married)","none",3,"car or other",51,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12114
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"male (single)","guarantor",2,"building society savings agreement/ life insurance",28,"none","own",2,"skilled employee / official",1,"none","Yes","good",12127
"No checking account","critical account/ other credits existing (not at this bank)","more than 1000","more than 7 years",4,"male (single)","none",4,"car or other",46,"none","own",2,"skilled employee / official",1,"none","Yes","good",12140
"No checking account","existing credits paid back duly till now","100 to 500","more than 7 years",2,"male (single)","none",4,"unknown / no property",42,"bank","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",12153
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",1,"male (single)","none",4,"building society savings agreement/ life insurance",38,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","No","good",12166
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good",12179
"0 - 200","critical account/ other credits existing (not at this bank)","more than 1000","more than 7 years",2,"female (divorced/separated/married)","none",4,"unknown / no property",29,"none","rent",1,"skilled employee / official",1,"none","Yes","good",12192
"0 - 200","delay in paying off in the past","100 to 500","4 to 7 years",4,"male (single)","none",4,"car or other",36,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",12205
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",12218
"Negative","critical account/ other credits existing (not at this bank)","100 to 500","more than 7 years",3,"male (single)","guarantor",4,"real estate",48,"none","own",2,"skilled employee / official",2,"none","No","good",12231
"Negative","all credits at this bank paid back duly","less than 100","more than 7 years",4,"male (married/widowed)","none",1,"car or other",45,"bank","own",1,"unskilled - resident",1,"none","Yes","good",12244
"0 - 200","existing credits paid back duly till now","100 to 500","4 to 7 years",2,"male (single)","none",3,"car or other",38,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12257
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","1 to 4 years",1,"male (single)","none",2,"real estate",34,"none","own",2,"unskilled - resident",2,"none","Yes","good",12270
"No checking account","critical account/ other credits existing (not at this bank)","100 to 500","more than 7 years",3,"male (single)","none",4,"real estate",36,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",12283
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",30,"none","own",2,"skilled employee / official",1,"none","Yes","good",12296
"No checking account","existing credits paid back duly till now","500 to 1000","4 to 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",36,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12309
"0 - 200","existing credits paid back duly till now","less than 100","Unemployed",2,"male (single)","none",4,"unknown / no property",70,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",12322
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",36,"none","own",1,"skilled employee / official",1,"none","Yes","good",12335
"No checking account","existing credits paid back duly till now","500 to 1000","1 to 4 years",1,"male (single)","none",2,"car or other",32,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12348
"Negative","existing credits paid back duly till now","less than 100","Unemployed",4,"female (divorced/separated/married)","none",2,"car or other",33,"none","own",1,"skilled employee / official",1,"none","Yes","bad",12361
"0 - 200","existing credits paid back duly till now","more than 1000","less than 1 year",4,"female (divorced/separated/married)","none",1,"real estate",20,"none","own",1,"skilled employee / official",1,"none","Yes","good",12374
"No checking account","existing credits paid back duly till now","less than 100","4 to 7 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",25,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12387
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (divorced/separated)","none",4,"real estate",31,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",12400
"Negative","no credits taken / all credits paid back duly","less than 100","more than 7 years",4,"male (single)","none",3,"car or other",33,"none","rent",2,"skilled employee / official",2,"none","Yes","bad",12413
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",1,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",12426
"0 - 200","delay in paying off in the past","less than 100","Unemployed",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",34,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",12439
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (single)","guarantor",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none","No","good",12452
"Negative","delay in paying off in the past","less than 100","less than 1 year",2,"male (single)","none",1,"building society savings agreement/ life insurance",26,"none","own",2,"skilled employee / official",1,"none","Yes","bad",12465
